City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,1.79,75,20,1.54,AR,1717955224
1,albany,42.6001,-73.9662,19.46,84,86,0.89,US,1717954645
2,punta arenas,-53.15,-70.9167,2.06,80,75,1.54,CL,1717955149
3,port moresby,-9.4431,147.1797,24.29,91,13,4.26,PG,1717955226
4,cannonvale,-20.2833,148.7,18.66,77,0,2.65,AU,1717955226
5,pyu,18.4833,96.4333,25.55,95,100,2.98,MM,1717955226
6,kainantu,-6.2887,145.8655,15.26,97,92,0.94,PG,1717955226
7,suva,-18.1416,178.4415,18.71,100,75,1.54,FJ,1717955226
8,bani walid,31.7566,13.9942,33.84,18,5,7.47,LY,1717955226
9,iquique,-20.2208,-70.1431,19.02,75,48,1.99,CL,1717954892
10,hermanus,-34.4187,19.2345,12.67,79,5,3.97,ZA,1717955226
11,waitangi,-43.9535,-176.5597,13.23,89,100,5.81,NZ,1717955226
12,fale old settlement,-9.3852,-171.2468,28.72,72,71,3.55,TK,1717955226
13,papatowai,-46.5619,169.4708,9.08,93,100,7.15,NZ,1717955226
14,port-aux-francais,-49.35,70.2167,6.78,97,100,17.42,TF,1717955226
15,bredasdorp,-34.5322,20.0403,10.72,90,5,1.93,ZA,1717955226
16,yellowknife,62.456,-114.3525,12.29,73,75,5.14,CA,1717955227
17,iqaluit,63.7506,-68.5145,4.85,52,100,5.14,CA,1717955227
18,mitsamiouli,-11.3847,43.2844,26.79,69,95,7.42,KM,1717955227
19,pitkyaranta,61.5734,31.4792,8.62,98,99,5.02,RU,1717955227
20,la foa,-21.7108,165.8276,22.76,81,100,2.08,NC,1717955227
21,fort bragg,35.139,-79.006,34.9,40,20,4.63,US,1717955227
22,blenheim,-41.516,173.9528,11.96,94,73,3.08,NZ,1717955227
23,tari,12.4086,4.4914,37.82,32,6,1.85,NG,1717955227
24,blackmans bay,-43.0167,147.3167,3.62,88,37,0.45,AU,1717955227
25,adamstown,-25.066,-130.1015,22.29,74,44,6.32,PN,1717955227
26,gadzhiyevo,69.2551,33.3362,6.62,84,10,6.82,RU,1717955227
27,enewetak,11.3474,162.3373,28.27,82,100,7.1,MH,1717955227
28,georgetown,5.4112,100.3354,27.96,83,40,3.09,MY,1717955227
29,san pedro,14.35,121.0167,28.57,90,40,1.03,PH,1717955138
30,ilulissat,69.2167,-51.1,4.01,81,40,3.6,GL,1717955227
31,khandyga,62.6667,135.6,9.25,67,96,1.92,RU,1717955227
32,sumbe,-11.2061,13.8437,22.99,92,29,3.03,AO,1717955228
33,vilyuchinsk,52.9306,158.4028,11.15,88,99,3.59,RU,1717955228
34,edinburgh of the seven seas,-37.0676,-12.3116,14.28,82,100,7.45,SH,1717955228
35,papao,-17.75,-149.55,25.82,81,98,9.11,PF,1717955228
36,grytviken,-54.2811,-36.5092,-5.51,76,21,6.96,GS,1717955228
37,stanley,54.868,-1.6985,13.77,77,40,2.57,GB,1717955228
38,isafjordur,66.0755,-23.124,9.02,61,40,5.14,IS,1717955228
39,bikenibeu village,1.3673,173.1241,27.98,83,20,3.09,KI,1717955228
40,yebaishou,41.3975,119.6408,18.6,62,57,1.79,CN,1717955228
41,coxen hole,16.3244,-86.5366,29.6,74,100,3.09,HN,1717955228
42,usinsk,65.9939,57.5281,7.26,92,100,5.81,RU,1717955228
43,jamestown,42.097,-79.2353,20.01,61,40,6.69,US,1717954973
44,dudinka,69.4058,86.1778,3.71,94,84,3.58,RU,1717955228
45,manavgat,36.7867,31.4431,25.96,62,1,2.7,TR,1717955228
46,port elizabeth,-33.918,25.5701,11.72,87,0,1.03,ZA,1717955228
47,strasburg,48.5834,7.743,21.03,52,0,3.6,FR,1717955202
48,ulladulla,-35.35,150.4667,9.26,82,35,1.94,AU,1717955228
49,energetik,51.7445,58.7934,16.9,88,32,5.94,RU,1717955229
50,hawaiian paradise park,19.5933,-154.9731,23.82,79,75,2.57,US,1717955229
51,cabo san lucas,22.8909,-109.9124,22.61,78,1,0.45,MX,1717955154
52,kijang,35.2442,129.2139,19.85,95,39,1.72,KR,1717955229
53,hamilton,39.1834,-84.5333,25.6,50,20,4.63,US,1717955229
54,tindouf,27.6711,-8.1474,33.25,17,0,11.32,DZ,1717955229
55,susuman,62.7833,148.1667,3.88,58,96,0.89,RU,1717955229
56,saskatoon,52.1168,-106.6345,12.99,54,75,1.54,CA,1717955101
57,mahalapye,-23.1041,26.8142,12.46,44,0,3.63,BW,1717955229
58,svetlyy,54.675,20.1347,16.03,76,30,1.05,RU,1717955229
59,port mathurin,-19.6833,63.4167,24.45,80,26,7.57,MU,1717955229
60,luziania,-16.2525,-47.9503,28.88,32,67,3.73,BR,1717955229
61,ribeira grande,38.5167,-28.7,22.22,78,40,6.26,PT,1717955229
62,alpine,32.835,-116.7664,23.53,68,75,1.79,US,1717955229
63,olonkinbyen,70.9221,-8.7187,-0.69,83,59,7.95,SJ,1717955230
64,san patricio,28.017,-97.5169,34.05,43,5,7.33,US,1717955230
65,tazacorte,28.629,-17.9293,22.3,82,75,3.6,ES,1717955230
66,kodiak,57.79,-152.4072,7.73,93,100,10.29,US,1717955230
67,pisco,-13.7,-76.2167,17.03,94,100,3.09,PE,1717955230
